BONUSZ;ARBEVETEL;TJB;AKTIV_NAPOK;KAMPANY_HOSSZA;PONT_NAP;PONT_HONAP;RFM_SCORE_NO;KAMPANYAFFINITAS;TELJESITES
10000;0;150001;8;3;4;8,1929;3;0;0
20000;40000;-172640;5;3;4;8,1929;8;0,714285714;1
2000;850;850;1;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;3;0;0
2000;0;0;0;3;4;8,1929;0;0;0
5000;83064;16025;12;3;4;8,1929;5;0;0
2000;0;1500;2;3;4;8,1929;7;0,142857143;0
20000;500018;220599;22;3;4;8,1929;10;0,615384615;0
2000;10361;-18986;16;3;4;8,1929;5;0,5;1
5000;25612;3797;10;3;4;8,4743;10;1;1
20000;2929120;193002;28;3;4;8,4743;9;0,357142857;1
2000;0;0;0;3;4;8,1929;1;0;0
20000;9528586;926201;15;3;4;8,1929;10;0,583333333;1
2000;0;0;0;3;4;8,1929;4;0;0
2000;0;0;0;3;4;8,1929;2;0;0
2000;0;0;0;3;4;8,1929;2;0,1;0
2000;7000;2517;12;3;4;8,1929;6;0;0
5000;2930;11930;9;3;4;8,4743;7;0;0
10000;259190;-26702;31;3;4;8,1929;8;1;1
5000;105870;-29756;29;3;4;8,4743;6;0;1
5000;89046;58178;30;3;4;8,4743;6;0;1
10000;0;0;0;3;4;8,4743;6;0;0
2000;6875;6000;2;3;4;8,4743;8;0,090909091;0
5000;0;4817;6;3;4;8,4743;6;0;0
5000;0;8200;6;3;4;8,1929;6;0;0
10000;0;8000;2;3;4;8,1929;8;0;0
20000;195284;64051;4;3;4;8,1929;6;0;0
2000;33324;-6424;16;3;4;8,1929;8;0,5;1
2000;4500;10900;3;3;4;8,1929;5;0,333333333;0
10000;0;82000;1;3;4;8,1929;3;0,1;1
2000;74602;-75150;21;3;4;8,1929;5;0;0
2000;23926;43281;24;3;4;8,4743;8;0,5;1
20000;2078791;357958;22;3;4;8,4743;10;0,588235294;1
5000;9850;3165;5;3;4;8,4743;6;0;0
2000;26755;30028;13;3;4;8,4743;6;0,666666667;0
10000;53905;56780;25;3;4;8,4743;10;0,090909091;0
10000;190;190;1;3;4;8,1929;3;0;0
5000;39120;34197;31;3;4;8,4743;9;0,5;0
20000;92000;24527;3;3;4;8,4743;9;0,25;0
10000;50684;19081;19;3;4;8,4743;9;0,5;1
10000;0;0;0;3;4;8,4743;7;0,333333333;0
20000;28683;10000;4;3;4;8,4743;8;0,230769231;0
10000;73740;25813;8;3;4;8,4743;7;0;0
5000;7000;7000;1;3;4;8,4743;6;0;0
5000;2762;2500;2;3;4;8,4743;6;0;0
5000;357574;13784;31;3;4;8,4743;6;0,333333333;1
5000;54563;24647;31;3;4;8,4743;8;0,666666667;1
20000;2162247;746205;28;3;4;8,4743;10;0;0
10000;900;450;1;3;4;8,1929;5;0,25;0
2000;31187;1673;31;3;4;8,1929;7;0;0
20000;1031865;119075;6;3;4;8,1929;7;0;0
5000;38710;-6209;21;3;4;8,1929;8;0;0
2000;20000;120000;2;3;4;8,1929;5;0,25;0
20000;0;100000;1;3;4;8,1929;4;0;0
2000;16050;8610;31;3;4;8,4743;7;0,5;0
20000;90597;70331;9;3;4;8,1929;8;0,888888889;0
2000;620007;865534;14;3;4;8,1929;6;1;1
20000;158375;438360;26;3;4;8,1929;10;0;0
20000;0;0;0;3;4;8,1929;6;0,285714286;0
2000;0;13500;3;3;4;8,1929;7;0;0
2000;241500;18977;16;3;4;8,1929;3;1;1
2000;28856;-42206;8;3;4;8,1929;4;0;0
2000;0;0;0;3;4;8,1929;1;0;0
10000;1471345;54009;30;3;4;8,1929;8;0;0
20000;160810;445754;19;3;4;8,4743;10;1;1
20000;3476324;434048;24;3;4;8,4743;9;1;1
5000;219597;11446;31;3;4;8,4743;9;0,5;1
10000;154726;24107;23;3;4;8,4743;8;0,8;1
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;4;0;0
20000;1000909;98041;10;3;4;8,1929;9;0,5;1
20000;646528;119886;25;3;4;8,1929;10;0,714285714;1
20000;10000;26500;6;3;4;8,1929;10;0,222222222;0
2000;1581;3125;4;3;4;8,1929;6;0;0
2000;0;0;0;3;4;8,1929;4;0,5;0
2000;0;0;0;3;4;8,1929;3;0;0
10000;20000;20000;2;3;4;8,1929;5;0;0
2000;0;0;0;3;4;8,1929;1;0;0
5000;41508;29880;13;3;4;8,1929;8;0;0
20000;628842;291000;23;3;4;8,4743;10;0,307692308;0
20000;45000;105000;3;3;4;8,4743;9;0;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;5;0;0
2000;0;1000;1;3;4;8,1929;2;0;0
10000;52515;56809;30;3;4;8,4743;10;1;1
5000;51800;25779;25;3;4;8,4743;9;0,666666667;1
20000;0;0;0;3;4;8,4743;6;0;0
10000;444594;3091;30;3;4;8,4743;9;1;1
20000;15514;8811;10;3;4;8,4743;9;0,25;0
2000;28313;-40757;24;3;4;8,4743;8;1;1
20000;280372;114450;25;3;4;8,4743;10;0,5;1
20000;1000;6500;3;3;4;8,4743;8;0;0
5000;0;1000;1;3;4;8,4743;5;0;0
5000;50609;39207;16;3;4;8,4743;6;0,5;0
5000;95290;47729;23;3;4;8,4743;5;0,5;1
20000;290000;527000;5;3;4;8,1929;9;0,333333333;1
2000;0;0;0;3;4;8,1929;1;0;0
20000;524914;102775;24;3;4;8,1929;10;0,6;0
2000;7000;10835;5;3;4;8,1929;6;0,090909091;0
10000;13185;18000;6;3;4;8,1929;5;0,25;0
5000;24020;8424;23;3;4;8,1929;8;0,833333333;1
2000;0;0;0;3;4;8,1929;0;0,125;0
2000;16813;3032;6;3;4;8,1929;5;0;0
2000;31154;62575;15;3;4;8,1929;8;0;0
20000;56046;38652;25;3;4;8,1929;10;0,222222222;0
10000;0;0;0;3;4;8,1929;8;0;0
2000;1555807;9712;26;3;4;8,4743;7;0,5;1
5000;41348;34000;4;3;4;8,4743;6;0,166666667;0
20000;163227;37998;27;3;4;8,4743;8;0;0
2000;1000;2000;2;3;4;8,4743;5;0;0
20000;509652;236906;24;3;4;8,4743;9;0,857142857;1
2000;3000;3000;1;3;4;8,4743;5;0;0
2000;31500;3615;14;3;4;8,4743;6;0,285714286;0
2000;54710;-10397;6;3;4;8,1929;5;0,066666667;1
2000;0;0;0;3;4;8,1929;0;0;0
2000;8768;-4000;7;3;4;8,1929;1;0;0
20000;0;0;0;3;4;8,1929;9;0,090909091;0
2000;0;0;0;3;4;8,1929;4;0,5;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;8700;3;3;4;8,1929;2;0;0
20000;3506719;1454510;27;3;4;8,1929;9;1;1
2000;14881;5004;1;3;4;8,1929;1;0,1;1
2000;0;675;1;3;4;8,4743;5;0,1;0
5000;0;0;0;3;4;8,4743;5;0;0
10000;553277;52436;24;3;4;8,4743;10;0;0
20000;8909;20900;17;3;4;8,4743;7;0;0
2000;35000;76000;25;3;4;8,4743;7;0,25;1
20000;78500;166110;10;3;4;8,1929;9;0,375;1
20000;0;0;0;3;4;8,1929;7;0,5;0
20000;345863;-11797;26;3;4;8,1929;7;0,166666667;0
2000;0;0;0;3;4;8,1929;2;0,090909091;0
2000;20290;15499;25;3;4;8,4743;8;0,8;1
10000;68925;30999;28;3;4;8,4743;9;0,8;1
10000;103692;115499;22;3;4;8,4743;7;0,5;1
5000;132778;19642;6;3;4;8,4743;7;0;1
10000;6170;23790;8;3;4;8,4743;9;0,6;0
5000;66321;80234;14;3;4;8,4743;8;0,666666667;1
10000;228100;29106;12;3;4;8,4743;8;0;0
5000;268100;3555;20;3;4;8,4743;9;1;1
10000;241628;55425;28;3;4;8,4743;10;0,2;1
2000;8211;3001;3;3;4;8,1929;2;0,125;1
2000;12160;22034;30;3;4;8,1929;8;1;1
2000;15100;20306;28;3;4;8,1929;3;1;1
2000;0;0;0;3;4;8,1929;2;0;0
2000;79308;-654800;22;3;4;8,4743;7;0;1
5000;347883;12672;8;3;4;8,4743;6;0,25;1
20000;55000;282215;5;3;4;8,4743;6;0;0
2000;0;0;0;3;4;8,4743;7;0;0
20000;1113715;105004;28;3;4;8,4743;10;0,357142857;0
10000;10000;110000;13;3;4;8,4743;6;0,333333333;0
2000;9340;10868;18;3;4;8,4743;6;0;0
5000;40524;55789;26;3;4;8,4743;7;0;1
10000;26553;35000;8;3;4;8,4743;6;0;1
5000;15315;18500;17;3;4;8,4743;6;0;0
2000;0;0;0;3;4;8,4743;7;0,666666667;0
20000;0;60000;2;3;4;8,4743;9;1;0
5000;0;0;0;3;4;8,4743;4;0;0
5000;31396;19298;17;3;4;8,4743;8;0,571428571;1
5000;26200;-16000;16;3;4;8,4743;6;0;0
2000;3224;-6799;9;3;4;8,1929;5;0,5;0
20000;54000;54000;7;3;4;8,1929;8;0,166666667;0
5000;0;0;0;3;4;8,4743;6;0;0
20000;33869;-33271;9;3;4;8,4743;6;0;0
20000;1234863;156453;24;3;4;8,4743;9;0;0
2000;55548;18000;18;3;4;8,4743;5;0;0
5000;52042;16266;29;3;4;8,4743;8;0;0
5000;32563;7794;7;3;4;8,4743;5;0;0
20000;33166;73040;18;3;4;8,4743;9;0;0
20000;0;0;0;3;4;8,4743;8;0,25;0
5000;24784;15004;4;3;4;8,4743;5;0;0
20000;323211;364080;28;3;4;8,4743;10;0;0
10000;9824;2600;2;3;4;8,4743;6;0;0
5000;82638;110792;17;3;4;8,4743;8;0,25;1
5000;0;4600;1;3;4;8,4743;7;0;1
10000;94649;-69018;23;3;4;8,4743;7;0,5;0
2000;42285;14248;25;3;4;8,1929;5;0,5;1
5000;0;0;0;3;4;8,1929;5;0,111111111;0
5000;4500;4500;2;3;4;8,1929;6;0;0
5000;113356;13893;15;3;4;8,1929;7;0;0
20000;195683;68435;31;3;4;8,4743;9;0,666666667;0
5000;83308;93162;30;3;4;8,4743;9;0,2;0
20000;112434;58801;14;3;4;8,4743;7;0;0
20000;1659907;439252;26;3;4;8,4743;7;1;0
2000;18780;-437;26;3;4;8,4743;6;0;0
20000;0;56000;2;3;4;8,4743;9;0,166666667;0
20000;470641;785702;18;3;4;8,4743;10;0,866666667;1
5000;6800;15040;6;3;4;8,4743;6;0,5;1
5000;4073;13259;14;3;4;8,4743;4;0;0
5000;70040;3000;6;3;4;8,4743;5;0;0
5000;51830;46970;25;3;4;8,4743;8;0;1
5000;8992;50000;19;3;4;8,4743;5;0;0
5000;110140;110595;24;3;4;8,4743;8;0,25;1
5000;468708;11189;31;3;4;8,4743;7;0;1
2000;0;5000;3;3;4;8,4743;5;0;0
20000;1226098;172184;16;3;4;8,4743;9;0,333333333;0
20000;298434;65032;31;3;4;8,4743;10;1;1
5000;25569;20061;31;3;4;8,4743;8;1;1
20000;0;0;0;3;4;8,4743;8;0;0
5000;0;1952;2;3;4;8,4743;7;0;0
2000;32900;-26140;4;3;4;8,4743;6;0;0
20000;498864;260688;26;3;4;8,4743;10;0,285714286;0
2000;300;11142;6;3;4;8,4743;5;0,333333333;0
5000;1000;2638;5;3;4;8,4743;6;1;1
2000;0;2000;1;3;4;8,1929;1;0;0
5000;22079;10571;19;3;4;8,4743;7;0,5;1
10000;0;5000;1;3;4;8,4743;8;0,5;0
2000;11829;5072;16;3;4;8,4743;7;0;1
2000;4919;6501;18;3;4;8,4743;6;0;1
5000;19945;34801;24;3;4;8,4743;7;0,25;0
5000;12200;2951;4;3;4;8,4743;6;0,333333333;0
20000;149500;487186;15;3;4;8,4743;10;0,142857143;1
20000;124825;49676;27;3;4;8,4743;9;0;0
5000;57487;24082;30;3;4;8,4743;5;0;0
5000;158192;-16790;29;3;4;8,4743;8;0;0
10000;103622;132200;16;3;4;8,4743;8;0,833333333;1
10000;0;24494;6;3;4;8,4743;8;0,5;0
5000;0;14862;8;3;4;8,1929;7;0,285714286;0
2000;104110;3868;4;3;4;8,1929;3;0;0
2000;66338;40276;12;3;4;8,1929;6;0,090909091;0
2000;0;0;0;3;4;8,1929;4;0,5;0
5000;29525;43000;6;3;4;8,4743;8;1;1
2000;3240;16090;14;3;4;8,4743;7;0,6;1
5000;0;0;0;3;4;8,4743;7;0;0
20000;9130999;320000;9;3;4;8,4743;7;0,0625;0
20000;368444;66289;24;3;4;8,4743;10;0,25;0
5000;0;0;0;3;4;8,4743;6;0;0
20000;0;0;0;3;4;8,4743;9;0,4;0
20000;300511;150001;3;3;4;8,4743;8;0,125;0
2000;0;0;0;3;4;8,1929;0;0;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;1;0;0
5000;0;0;0;3;4;8,4743;5;0;0
5000;249200;-15015;25;3;4;8,4743;6;1;0
5000;2000;17232;8;3;4;8,4743;5;0,333333333;1
5000;0;0;0;3;4;8,4743;6;0;0
5000;0;7000;2;3;4;8,4743;4;0;0
20000;379334;82229;27;3;4;8,4743;9;0,375;0
5000;0;0;0;3;4;8,4743;6;0;0
2000;10883;23100;12;3;4;8,4743;6;0;0
2000;0;0;0;3;4;8,4743;6;0;0
20000;147000;106000;13;3;4;8,4743;7;1;0
2000;9112;9399;23;3;4;8,4743;6;0;0
5000;0;0;0;3;4;8,1929;2;0,25;0
10000;151668;-28000;6;3;4;8,1929;6;0,2;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;5;0;0
2000;224294;-57289;17;3;4;8,1929;4;0;0
10000;0;25983;3;3;4;8,1929;8;1;1
2000;0;-234000;6;3;4;8,1929;7;0;0
20000;85640;84800;10;3;4;8,4743;10;0,222222222;0
5000;44300;13618;26;3;4;8,4743;8;0;0
20000;250;2250;2;3;4;8,4743;9;0,111111111;1
10000;42069;15756;28;3;4;8,4743;9;0;0
5000;0;0;0;3;4;8,4743;6;0;0
2000;20657;10647;23;3;4;8,4743;6;0,142857143;1
2000;13081170;2614151;31;3;4;8,4743;7;0;1
2000;34615;-3001;25;3;4;8,4743;4;0,166666667;0
10000;38250;29710;8;3;4;8,4743;9;0,090909091;0
5000;53831;6641;15;3;4;8,1929;5;0;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;1000;1;3;4;8,1929;6;0;0
20000;0;94100;8;3;4;8,4743;7;0,545454545;0
20000;0;52000;1;3;4;8,4743;9;0,222222222;0
5000;2000;19591;11;3;4;8,4743;8;0;0
5000;83413;22000;14;3;4;8,4743;7;0,333333333;1
20000;748912;195620;18;3;4;8,4743;9;0,071428571;0
5000;2877;4070;3;3;4;8,4743;9;0;0
2000;36265;13134;19;3;4;8,4743;8;1;0
10000;98929;1001;4;3;4;8,4743;5;0;0
2000;10705;4452;10;3;4;8,4743;7;0;0
20000;0;0;0;3;4;8,4743;6;0;0
2000;23550;-22660;12;3;4;8,4743;6;0;0
20000;848935;89505;11;3;4;8,4743;7;0;0
5000;21566;-1196;12;3;4;8,4743;6;0,5;1
2000;43064;-18487;26;3;4;8,4743;6;0;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;36000;-107393;18;3;4;8,1929;8;0,2;0
10000;246084;45646;15;3;4;8,4743;9;0;0
20000;185917;119109;22;3;4;8,4743;10;0;0
5000;30000;-5950;4;3;4;8,4743;6;0,666666667;1
2000;4489;4669;16;3;4;8,4743;6;0,4;1
20000;246413;111001;11;3;4;8,4743;8;0,5;0
5000;39150;42027;16;3;4;8,4743;6;0;1
5000;0;0;0;3;4;8,4743;7;0,142857143;0
10000;49580;4000;8;3;4;8,4743;8;0;0
20000;50923;48079;21;3;4;8,4743;9;0,5;0
20000;984943;225300;5;3;4;8,4743;9;0,333333333;1
5000;17593;26042;27;3;4;8,4743;7;0,5;0
5000;135788;36244;27;3;4;8,4743;5;0,333333333;1
20000;265800;-137014;14;3;4;8,4743;10;1;1
5000;50326;8581;17;3;4;8,4743;7;0,25;1
5000;639029;-96010;31;3;4;8,4743;6;1;1
2000;0;0;0;3;4;8,1929;2;0;0
2000;0;1060;1;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;3;0,285714286;1
2000;17480;5000;2;3;4;8,1929;2;0;0
20000;190348;614002;16;3;4;8,4743;10;1;1
20000;54852;61322;27;3;4;8,4743;9;0,5;1
20000;4949000;147780;8;3;4;8,4743;10;0,333333333;1
20000;120300;12451;4;3;4;8,4743;8;1;1
10000;129021;282983;19;3;4;8,4743;6;0;0
2000;7000;8493;4;3;4;8,4743;6;0;1
5000;84000;40369;13;3;4;8,4743;8;0,6;1
20000;38300;44100;7;3;4;8,4743;10;0,3;0
20000;388336;145301;23;3;4;8,4743;10;0,333333333;0
2000;0;0;0;3;4;8,4743;6;0;0
5000;60000;-36600;11;3;4;8,4743;6;0;0
5000;24984;5014;2;3;4;8,4743;4;0;0
5000;37808;52936;28;3;4;8,4743;9;1;1
5000;0;8396;3;3;4;8,1929;5;0;0
5000;126187;77180;14;3;4;8,1929;3;0,142857143;1
2000;42923;-14546;27;3;4;8,1929;3;0,125;1
5000;80067;57522;7;3;4;8,1929;4;0;0
20000;687007;190905;27;3;4;8,1929;10;0,4375;0
10000;78964;114388;16;3;4;8,1929;8;0,333333333;0
2000;40704;17955;16;3;4;8,4743;7;1;1
5000;0;0;0;3;4;8,4743;6;0;0
10000;148997;100014;31;3;4;8,4743;9;1;1
2000;0;0;0;3;4;8,4743;5;0;0
2000;0;0;0;3;4;8,4743;7;0;0
10000;20690;7430;6;3;4;8,4743;8;0,4;1
20000;23210945;2989423;31;3;4;8,4743;10;0,5;1
2000;0;0;0;3;4;8,4743;6;0;0
20000;0;0;0;3;4;8,4743;9;0;0
10000;2789017;523798;6;3;4;8,4743;9;0,5;0
2000;8000;28300;11;3;4;8,4743;6;0,5;0
20000;400578;268492;31;3;4;8,1929;8;0,25;0
2000;0;0;0;3;4;8,1929;1;0;0
10000;3951;44930;18;3;4;8,1929;6;0;0
10000;1087529;349083;12;3;4;8,1929;9;0,4;0
2000;6000;17700;12;3;4;8,1929;6;0;0
2000;0;0;0;3;4;8,1929;3;0;0
10000;75700;121537;20;3;4;8,4743;10;0,2;0
20000;183656;60000;12;3;4;8,4743;8;0,6;1
2000;193268;69247;25;3;4;8,4743;7;0;0
20000;1150408;89528;29;3;4;8,4743;10;1;1
2000;4000;7071;8;3;4;8,4743;6;0;0
20000;6500;14381;9;3;4;8,4743;9;0,333333333;0
2000;59405;18053;22;3;4;8,4743;5;0;1
20000;228020;63862;30;3;4;8,4743;10;0;0
2000;0;0;0;3;4;8,1929;2;0;0
20000;69777;126900;7;3;4;8,1929;8;0,272727273;1
2000;0;0;0;3;4;8,1929;0;0;0
10000;51445;106000;14;3;4;8,1929;6;0,5;0
20000;1516927;-88573;25;3;4;8,1929;9;0;0
20000;0;900;1;3;4;8,4743;8;0;0
20000;207556;27601;12;3;4;8,4743;10;0,25;0
20000;2677647;180543;23;3;4;8,4743;10;0;0
2000;1300;10300;6;3;4;8,4743;5;0,5;1
2000;219740;31378;30;3;4;8,4743;8;1;0
10000;0;250000;2;3;4;8,4743;3;0;0
2000;227518;5619;22;3;4;8,4743;4;0;1
2000;0;0;0;3;4;8,1929;7;0,25;0
2000;0;2932;2;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;6;0;0
10000;0;0;0;3;4;8,1929;5;0;0
2000;16111;3203;17;3;4;8,1929;7;1;1
10000;4000;5000;2;3;4;8,1929;8;0,125;0
2000;0;5800;3;3;4;8,1929;5;0;0
2000;0;0;0;3;4;8,1929;4;0;0
2000;0;0;0;3;4;8,1929;5;0;0
10000;0;0;0;3;4;8,1929;8;0;0
2000;0;10000;1;3;4;8,1929;5;0;0
5000;116761;160838;23;3;4;8,1929;6;0,5;1
2000;0;0;0;3;4;8,1929;5;0;0
2000;30437;35020;22;3;4;8,1929;7;0,666666667;0
20000;0;-60500;5;3;4;8,1929;8;0;0
5000;11600;13600;3;3;4;8,1929;6;0;0
10000;148905;11582;31;3;4;8,1929;9;0,833333333;1
2000;0;0;0;3;4;8,1929;0;0;0
2000;0;0;0;3;4;8,1929;2;0;0
5000;412990;120240;28;3;4;8,1929;9;1;1
2000;0;0;0;3;4;8,1929;0;0;0
2000;36456;15000;4;3;4;8,1929;7;0;0
2000;0;10000;1;3;4;8,1929;1;0;0
10000;36000;54000;4;3;4;8,1929;5;0;0
2000;0;0;0;3;4;8,1929;2;0;0
2000;6500;4000;4;3;4;8,1929;6;0,166666667;1
20000;0;0;0;3;4;8,1929;7;0,125;0
5000;6000;12000;5;3;4;8,1929;5;0,166666667;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;5;0,2;1
20000;0;0;0;3;4;8,1929;9;0,272727273;0
5000;34500;-2704;9;3;4;8,1929;8;0,666666667;1
20000;0;0;0;3;4;8,1929;8;0,125;0
20000;0;0;0;3;4;8,1929;6;0;0
2000;5000;5000;1;3;4;8,1929;4;0;0
2000;0;0;0;3;4;8,1929;0;0;0
5000;10200;10200;2;3;4;8,1929;7;0;0
2000;11856;-177;5;3;4;8,1929;1;0;0
20000;403289;28180;20;3;4;8,1929;7;0;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;23200;21934;10;3;4;8,1929;4;0;0
2000;0;0;0;3;4;8,1929;1;0;0
2000;0;0;0;3;4;8,1929;0;0;0
2000;112988;-4636;27;3;4;8,1929;7;0,2;0
2000;4000;4000;1;3;4;8,1929;3;0,111111111;1
5000;14786;55896;16;3;4;8,4743;8;0;1
